exp,sample_idx,cf_variant,delta_target_terms,delta_opposite_terms,direction_accuracy,net_direction_accuracy,prompt_echo_rate,base_mentions_top1_title,cf_mentions_top1_title,title_drift,text_changed,top1_music_id
exp_01,1401,cf_lyrical_piano,4,0,1,1,0.5,0,1,0,1,LJbfOPW35ek_1hcieZLP0-g
exp_01,1434,cf_upbeat_electronic,3,0,1,1,1.0,1,1,0,1,Gzse71YV_-Q_dGe3HxoH1nM
exp_01,1434,cf_lyrical_piano,5,-4,1,1,0.8,1,1,0,1,Gzse71YV_-Q_dGe3HxoH1nM
exp_01,1455,cf_upbeat_electronic,7,0,1,1,0.7143,1,1,0,1,XXgtN7TA1V8_LqTg77a6R9I
exp_01,1455,cf_lyrical_piano,3,1,1,0,0.3333,1,1,0,1,XXgtN7TA1V8_LqTg77a6R9I
exp_01,1463,cf_upbeat_electronic,6,0,1,1,0.7143,0,0,0,1,Yt6e53kClkw_6jaYw_6IbxU
exp_01,1463,cf_lyrical_piano,5,0,1,1,0.8,0,0,0,1,Yt6e53kClkw_6jaYw_6IbxU
exp_01,1489,cf_upbeat_electronic,5,0,1,1,0.875,1,1,0,1,ao5fwaUbDx8_cakHbZlc4aw
exp_01,1489,cf_lyrical_piano,2,0,1,1,1.0,1,0,1,1,ao5fwaUbDx8_cakHbZlc4aw
exp_01,1509,cf_upbeat_electronic,5,0,1,1,0.625,1,1,0,1,klRiLwV41-M_wXoa8z07SLM
exp_01,1509,cf_lyrical_piano,5,-1,1,1,0.8,1,1,0,1,klRiLwV41-M_wXoa8z07SLM
exp_01,1528,cf_upbeat_electronic,5,0,1,1,1.0,1,1,0,1,lXhW9YQhkEU_tGlKac8RVS4
exp_01,1528,cf_lyrical_piano,7,-1,1,1,1.0,1,1,0,1,lXhW9YQhkEU_tGlKac8RVS4
exp_01,1566,cf_upbeat_electronic,5,0,1,1,0.625,1,1,0,1,CXKRC8Bfy0M_KJvt2xsg34s
exp_01,1566,cf_lyrical_piano,5,0,1,1,0.8,1,1,0,1,CXKRC8Bfy0M_KJvt2xsg34s
exp_01,1586,cf_upbeat_electronic,5,0,1,1,0.625,0,1,0,1,MCAC_K5WCrg_ANYiuQgLoJY
exp_01,1586,cf_lyrical_piano,4,-2,1,1,0.75,0,1,0,1,MCAC_K5WCrg_ANYiuQgLoJY
exp_01,1596,cf_upbeat_electronic,5,0,1,1,0.7143,1,1,0,1,jk6o2JBck3E_lu4R8ufjGZ0
exp_01,1596,cf_lyrical_piano,4,1,1,0,0.75,1,1,0,1,jk6o2JBck3E_lu4R8ufjGZ0
exp_01,1601,cf_upbeat_electronic,2,0,1,1,0.8889,1,1,0,1,CJTxfWNQN1Q_io1QWB0I_NM
exp_01,1601,cf_lyrical_piano,4,-4,1,1,0.75,1,1,0,1,CJTxfWNQN1Q_io1QWB0I_NM
exp_01,1603,cf_upbeat_electronic,6,0,1,1,0.75,1,1,0,1,l3IbMrnSJtM_1JLiGvkrL0s
exp_01,1603,cf_lyrical_piano,7,-2,1,1,1.0,1,1,0,1,l3IbMrnSJtM_1JLiGvkrL0s
