focal_exp,compare_exp,metric,metric_label,higher_is_better,n_pairs,focal_mean,compare_mean,mean_improvement_positive_is_focal_better,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_statistic,p_value_raw,wilcoxon_method,p_value_holm,significant_holm_0.05
exp_01,exp_06,R@10,R@10,True,4205,0.7988109393579073,0.6313912009512486,0.16741973840665875,0.15196195005945304,0.18311533888228299,163637.5,2.428275650248796e-89,scipy_wilcoxon,6.556344255671749e-88,True
exp_01,exp_06,rank,Rank,False,4205,7.9491082045184305,14.797146254458978,6.848038049940547,6.205214030915577,7.493240190249702,1588830.0,2.3159363127831288e-157,scipy_wilcoxon,8.105777094740951e-156,True
exp_01,exp_06,bertscore_f1,BERTScore F1,True,4204,0.7748353447194444,0.7344397599290485,0.04039558479039585,0.03877239901870206,0.04203175329678576,1067363.5,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_06,infolm_ab_divergence,InfoLM AB,False,4204,1.3923106425066085,2.9926046772900863,1.600294034783478,1.546515416246236,1.6524239870260968,524914.0,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_06,infolm_l2_distance,InfoLM L2,False,4204,0.13732338367122182,0.23547151451852869,0.09814813084730685,0.09507457153560347,0.10123973257969718,510323.0,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_06,infolm_fisher_rao,InfoLM Fisher-Rao,False,4204,1.1495423241986065,1.9892185477688296,0.8396762235702231,0.8134765374443407,0.8656173349603222,445445.0,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_07,R@1,R@1,True,4205,0.3065398335315101,0.0004756242568370987,0.306064209274673,0.29227110582639715,0.31985731272294887,645.0,2.0524481131134815e-281,scipy_wilcoxon,7.799302829831229e-280,True
exp_01,exp_07,R@5,R@5,True,4205,0.6639714625445897,0.007609988109393579,0.6563614744351962,0.6416171224732461,0.6708680142687277,11108.0,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_07,R@10,R@10,True,4205,0.7988109393579073,0.016646848989298454,0.7821640903686088,0.7693222354340071,0.7947681331747919,21554.0,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_07,rank,Rank,False,4205,7.9491082045184305,252.57003567181926,244.62092746730085,240.2809631391201,248.95655172413794,10789.0,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_07,bertscore_f1,BERTScore F1,True,4204,0.7748353447194444,0.7461706620386733,0.028664682680771082,0.026959507662331513,0.030347727837092414,1805543.5,3.0619332413339496e-241,scipy_wilcoxon,1.1329152992935613e-239,True
exp_01,exp_07,infolm_ab_divergence,InfoLM AB,False,4204,1.3923106425066085,2.734171299926217,1.3418606574196086,1.2929438983138652,1.3921431649861784,741216.0,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_07,infolm_l2_distance,InfoLM L2,False,4204,0.13732338367122182,0.23441749374819945,0.09709411007697764,0.0939537961705715,0.10028722454512073,594017.5,0.0,scipy_wilcoxon,0.0,True
exp_01,exp_07,infolm_fisher_rao,InfoLM Fisher-Rao,False,4204,1.1495423241986065,1.970113053495007,0.8205707292964005,0.7950325437799648,0.8462668174520783,546941.0,0.0,scipy_wilcoxon,0.0,True
